lag,batch_size,neurons,layers,split,accuracy,f1-0,f1-1,f1-2,f1-3,f1-4,f1-5,f1-6,f1-7,f1-8,f1-9,diff_acc,max_acc,mean_acc,min_acc,f1-total
1,5,128,2,0.85,,0,0,0,0,0.216952731,0.568010165,0,0,0,0,0.176470588,0.544117647,0.426470588,0.367647059,0.784962895
1,80,256,3,0.85,,0,0,0,0,0.197775723,0.586722741,0,0,0,0,0.147058824,0.514705882,0.432352941,0.367647059,0.784498464
3,5,128,3,0.85,,0,0,0,0,0.240198307,0.542719865,0,0,0,0,0.073529412,0.5,0.45,0.426470588,0.782918173
14,80,16,1,0.85,,0,0,0,0,0.201030778,0.578352451,0,0,0,0,0.075757576,0.46969697,0.436363636,0.393939394,0.779383229
14,20,16,1,0.85,,0,0,0,0,0.201044547,0.577519257,0,0,0,0,0.075757576,0.484848485,0.439393939,0.409090909,0.778563804
3,5,32,3,0.85,,0,0,0,0,0.219133419,0.556839303,0,0,0,0,0.088235294,0.455882353,0.432352941,0.367647059,0.775972722
7,5,32,3,0.85,,0,0,0,0,0.286433692,0.489369169,0,0,0,0,0.119402985,0.447761194,0.4,0.328358209,0.775802861
1,20,128,2,0.85,,0,0,0,0,0.211871417,0.562914428,0,0,0,0,0.102941176,0.470588235,0.420588235,0.367647059,0.774785845
7,20,32,3,0.85,,0,0,0,0,0.263282007,0.510094193,0,0,0,0,0.149253731,0.47761194,0.4,0.328358209,0.7733762
1,5,64,1,0.85,,0,0,0,0,0.18897471,0.581277534,0,0,0,0,0.161764706,0.544117647,0.435294118,0.382352941,0.770252243
1,5,256,2,0.85,,0,0,0,0,0.193457848,0.576755697,0,0,0,0,0.147058824,0.514705882,0.426470588,0.367647059,0.770213545
1,80,128,3,0.85,,0,0,0,0,0.183831479,0.583559812,0,0,0,0,0.191176471,0.544117647,0.432352941,0.352941176,0.76739129
1,50,64,2,0.85,,0,0,0,0,0.155692308,0.544699413,0.066666667,0,0,0,0.088235294,0.455882353,0.414705882,0.367647059,0.767058388
1,50,256,3,0.85,,0,0,0,0,0.221041805,0.543735254,0,0,0,0,0.117647059,0.470588235,0.417647059,0.352941176,0.764777059
7,80,16,3,0.85,,0,0,0,0,0.20287436,0.559044507,0,0,0,0,0.149253731,0.47761194,0.414925373,0.328358209,0.761918867
14,50,16,1,0.85,,0,0,0,0,0.167871229,0.591725134,0,0,0,0,0.090909091,0.484848485,0.442424242,0.393939394,0.759596363
1,50,256,2,0.85,,0,0,0,0,0.220704266,0.538781373,0,0,0,0,0.102941176,0.470588235,0.411764706,0.367647059,0.759485639
3,5,16,3,0.85,,0,0,0,0,0.16395664,0.593140572,0,0,0,0,0.117647059,0.485294118,0.435294118,0.367647059,0.757097212
1,5,128,1,0.85,,0,0,0,0,0.200393149,0.556605663,0,0,0,0,0.088235294,0.470588235,0.414705882,0.382352941,0.756998813
1,20,128,3,0.85,,0,0,0,0,0.201844666,0.554827672,0,0,0,0,0.117647059,0.485294118,0.414705882,0.367647059,0.756672338
1,5,64,3,0.85,,0,0,0,0,0.177073171,0.57737659,0,0,0,0,0.161764706,0.514705882,0.429411765,0.352941176,0.754449761
