lag,batch_size,neurons,layers,split,accuracy,f1-0,f1-1,f1-2,f1-3,f1-4,f1-5,f1-6,f1-7,f1-8,f1-9,diff_acc,max_acc,mean_acc,min_acc,f1-total
14,5,32,2,0.85,,0,0,0,0,0.239461205,0.521556937,0,0,0,0,0.179104478,0.462686567,0.4,0.28358209,0.761018142
3,5,32,2,0.85,,0,0,0,0.057142857,0.137429547,0.566060716,0,0,0,0,0.088235294,0.455882353,0.414705882,0.367647059,0.76063312
7,20,256,3,0.85,,0,0,0,0,0.242942201,0.517579558,0,0,0,0,0.088235294,0.441176471,0.397058824,0.352941176,0.760521759
14,50,64,3,0.85,,0,0,0,0,0.291817798,0.468178847,0,0,0,0,0.179104478,0.462686567,0.382089552,0.28358209,0.759996645
14,80,32,3,0.85,,0,0,0,0,0.235441784,0.523879245,0,0,0,0,0.179104478,0.462686567,0.4,0.28358209,0.759321029
3,5,64,2,0.85,,0,0,0,0,0.195919192,0.560438959,0,0,0,0,0.073529412,0.455882353,0.420588235,0.382352941,0.756358151
1,50,128,1,0.85,,0,0,0,0,0.160463072,0.595553309,0,0,0,0,0.144927536,0.536231884,0.452173913,0.391304348,0.756016381
14,50,32,3,0.85,,0,0,0,0,0.259794295,0.49608743,0,0,0,0,0.179104478,0.462686567,0.394029851,0.28358209,0.755881725
7,5,64,1,0.85,,0,0,0,0,0.194096134,0.56159446,0,0,0,0,0.117647059,0.485294118,0.429411765,0.367647059,0.755690594
14,5,16,1,0.85,,0,0,0,0,0.193527297,0.561322547,0,0,0,0,0.208955224,0.507462687,0.417910448,0.298507463,0.754849844
14,20,256,3,0.85,,0,0,0,0,0.258791209,0.49572278,0,0,0,0,0.208955224,0.507462687,0.391044776,0.298507463,0.754513989
1,5,128,2,0.85,,0,0,0,0,0.121651731,0.63170893,0,0,0,0,0.130434783,0.536231884,0.472463768,0.405797101,0.753360661
7,20,32,1,0.85,,0,0,0,0,0.206375815,0.546821055,0,0,0,0,0.088235294,0.470588235,0.420588235,0.382352941,0.75319687
3,50,32,2,0.85,,0,0,0,0,0.270998675,0.480615265,0,0,0,0,0.102941176,0.441176471,0.391176471,0.338235294,0.75161394
14,20,256,1,0.85,,0,0,0,0,0.307724868,0.441981631,0,0,0,0,0.164179104,0.462686567,0.4,0.298507463,0.749706498
7,50,16,1,0.85,,0,0,0,0,0.227689207,0.521296772,0,0,0,0,0.147058824,0.5,0.435294118,0.352941176,0.748985979
3,50,256,1,0.85,,0,0,0,0,0.255921856,0.492623453,0,0,0,0,0.073529412,0.411764706,0.388235294,0.338235294,0.748545309
3,50,128,2,0.85,,0,0,0,0,0.261806946,0.48518771,0,0,0,0,0.161764706,0.485294118,0.388235294,0.323529412,0.746994656
7,80,32,2,0.85,,0,0,0,0,0.181948919,0.563829744,0,0,0,0,0.117647059,0.470588235,0.426470588,0.352941176,0.745778662
7,20,64,3,0.85,,0,0,0,0,0.192050089,0.552999381,0,0,0,0,0.102941176,0.455882353,0.405882353,0.352941176,0.745049471
14,5,32,1,0.85,,0,0,0,0,0.261448371,0.482976399,0,0,0,0,0.179104478,0.462686567,0.385074627,0.28358209,0.74442477
7,20,16,2,0.85,,0,0,0,0,0.175653021,0.567703495,0,0,0,0,0.161764706,0.5,0.432352941,0.338235294,0.743356517
14,5,32,3,0.85,,0,0,0,0,0.256083955,0.486569387,0,0,0,0,0.179104478,0.462686567,0.382089552,0.28358209,0.742653342
14,20,32,2,0.85,,0,0,0,0,0.217166667,0.52414653,0,0,0,0,0.179104478,0.462686567,0.397014925,0.28358209,0.741313197
14,5,256,2,0.85,,0,0,0,0,0.207038713,0.534059289,0,0,0,0,0.208955224,0.492537313,0.402985075,0.28358209,0.741098002
3,80,256,2,0.85,,0,0,0,0.057142857,0.104264706,0.579288662,0,0,0,0,0.088235294,0.455882353,0.420588235,0.367647059,0.740696225
3,20,128,2,0.85,,0,0,0,0.057142857,0.125679994,0.557638596,0,0,0,0,0.058823529,0.441176471,0.405882353,0.382352941,0.740461447
14,5,128,1,0.85,,0,0,0,0,0.235314499,0.502516536,0,0,0,0,0.208955224,0.492537313,0.391044776,0.28358209,0.737831035
7,5,32,1,0.85,,0,0,0,0,0.151666667,0.583641335,0,0,0,0,0.147058824,0.5,0.438235294,0.352941176,0.735308002
14,80,64,1,0.85,,0,0,0,0,0.222993654,0.511941598,0,0,0,0,0.179104478,0.462686567,0.391044776,0.28358209,0.734935253
14,5,64,2,0.85,,0,0,0,0,0.232131269,0.500195836,0,0,0,0,0.194029851,0.492537313,0.394029851,0.298507463,0.732327105
14,5,64,1,0.85,,0,0,0,0,0.229874214,0.499265348,0,0,0,0,0.223880597,0.507462687,0.391044776,0.28358209,0.729139561
1,50,64,1,0.85,,0,0,0,0,0.111869078,0.613807954,0,0,0,0,0.144927536,0.536231884,0.460869565,0.391304348,0.725677032
7,80,64,3,0.85,,0,0,0,0,0.181481147,0.54273659,0,0,0,0,0.088235294,0.455882353,0.408823529,0.367647059,0.724217737
14,20,32,1,0.85,,0,0,0,0,0.227231183,0.4958799,0,0,0,0,0.179104478,0.462686567,0.388059701,0.28358209,0.723111083
14,20,16,3,0.85,,0,0,0,0,0.227030392,0.493990646,0,0,0,0,0.194029851,0.47761194,0.382089552,0.28358209,0.721021038
7,20,32,3,0.85,,0,0,0,0,0.166984127,0.551304093,0,0,0,0,0.117647059,0.470588235,0.414705882,0.352941176,0.71828822
3,20,128,3,0.85,,0,0,0,0.066666667,0.075903263,0.573225316,0,0,0,0,0.073529412,0.455882353,0.411764706,0.382352941,0.715795246
14,50,16,3,0.85,,0,0,0,0,0.18593169,0.529845237,0,0,0,0,0.208955224,0.492537313,0.394029851,0.28358209,0.715776927
1,80,256,3,0.85,,0,0,0,0,0.109401709,0.606174054,0,0,0,0,0.144927536,0.536231884,0.449275362,0.391304348,0.715575763
1,80,128,2,0.85,,0,0,0,0,0.084615385,0.630884197,0,0,0,0,0.144927536,0.536231884,0.463768116,0.391304348,0.715499582
7,20,16,1,0.85,,0,0,0,0,0.11978836,0.592386582,0,0,0,0,0.102941176,0.5,0.444117647,0.397058824,0.712174942
1,50,32,1,0.85,,0,0,0,0,0.102037652,0.609136136,0,0,0,0,0.144927536,0.536231884,0.455072464,0.391304348,0.711173789
14,80,16,2,0.85,,0,0,0,0,0.171212121,0.539547758,0,0,0,0,0.149253731,0.462686567,0.397014925,0.313432836,0.71075988
14,5,16,3,0.85,,0,0,0,0,0.17169875,0.538701673,0,0,0,0,0.179104478,0.462686567,0.397014925,0.28358209,0.710400423
1,50,32,2,0.85,,0,0,0,0,0.085714286,0.623020656,0,0,0,0,0.144927536,0.536231884,0.469565217,0.391304348,0.708734942
1,20,32,2,0.85,,0,0,0,0,0.068085106,0.640373598,0,0,0,0,0.144927536,0.536231884,0.472463768,0.391304348,0.708458704
14,80,128,3,0.85,,0,0,0,0,0.200642669,0.505810204,0,0,0,0,0.208955224,0.492537313,0.379104478,0.28358209,0.706452873
1,50,128,3,0.85,,0,0,0,0,0.073684211,0.631216294,0,0,0,0,0.144927536,0.536231884,0.472463768,0.391304348,0.704900505
1,50,256,2,0.85,,0,0,0,0,0.085714286,0.61891638,0,0,0,0,0.130434783,0.52173913,0.463768116,0.391304348,0.704630665
