lag,epochs,batch_size,neurons,layers,split,mean_acc,min_acc,max_acc,diff_acc
7.0,10000.0,5.0,64.0,3.0,0.85,0.5441176470588236,0.5,0.5882352941176471,0.08823529411764708
7.0,10000.0,20.0,64.0,3.0,0.85,0.55,0.4852941176470588,0.6470588235294118,0.16176470588235298
7.0,10000.0,50.0,64.0,3.0,0.85,0.5088235294117647,0.4852941176470588,0.5735294117647058,0.08823529411764702
7.0,10000.0,80.0,64.0,3.0,0.85,0.5147058823529411,0.4411764705882353,0.5882352941176471,0.1470588235294118
7.0,10000.0,5.0,128.0,1.0,0.85,0.49411764705882344,0.39705882352941174,0.5882352941176471,0.19117647058823534
7.0,10000.0,20.0,128.0,1.0,0.85,0.4735294117647058,0.4117647058823529,0.5735294117647058,0.16176470588235292
7.0,10000.0,50.0,128.0,1.0,0.85,0.47352941176470587,0.4264705882352941,0.5147058823529411,0.08823529411764702
7.0,10000.0,80.0,128.0,1.0,0.85,0.45294117647058824,0.38235294117647056,0.5441176470588235,0.16176470588235292
7.0,10000.0,5.0,128.0,2.0,0.85,0.538235294117647,0.5,0.5882352941176471,0.08823529411764708
7.0,10000.0,20.0,128.0,2.0,0.85,0.5176470588235295,0.4852941176470588,0.6029411764705882,0.11764705882352938
7.0,10000.0,50.0,128.0,2.0,0.85,0.5058823529411764,0.4411764705882353,0.5441176470588235,0.1029411764705882
7.0,10000.0,80.0,128.0,2.0,0.85,0.5264705882352941,0.39705882352941174,0.6323529411764706,0.23529411764705882
7.0,10000.0,5.0,128.0,3.0,0.85,0.5764705882352941,0.5294117647058824,0.6176470588235294,0.08823529411764708
7.0,10000.0,20.0,128.0,3.0,0.85,0.5294117647058824,0.5,0.5735294117647058,0.07352941176470584
7.0,10000.0,50.0,128.0,3.0,0.85,0.5176470588235293,0.4852941176470588,0.5588235294117647,0.0735294117647059
7.0,10000.0,80.0,128.0,3.0,0.85,0.5411764705882354,0.45588235294117646,0.6470588235294118,0.19117647058823534
7.0,10000.0,5.0,256.0,1.0,0.85,0.5029411764705881,0.4117647058823529,0.5735294117647058,0.16176470588235292
7.0,10000.0,20.0,256.0,1.0,0.85,0.47352941176470587,0.4117647058823529,0.5882352941176471,0.17647058823529416
7.0,10000.0,50.0,256.0,1.0,0.85,0.47058823529411764,0.4264705882352941,0.5294117647058824,0.10294117647058826
7.0,10000.0,80.0,256.0,1.0,0.85,0.47352941176470587,0.36764705882352944,0.6029411764705882,0.23529411764705876
7.0,10000.0,5.0,256.0,2.0,0.85,0.5441176470588236,0.47058823529411764,0.5882352941176471,0.11764705882352944
7.0,10000.0,20.0,256.0,2.0,0.85,0.5294117647058824,0.47058823529411764,0.6029411764705882,0.13235294117647056
7.0,10000.0,50.0,256.0,2.0,0.85,0.5352941176470588,0.47058823529411764,0.6176470588235294,0.1470588235294118
7.0,10000.0,80.0,256.0,2.0,0.85,0.5147058823529411,0.4264705882352941,0.6323529411764706,0.20588235294117646
7.0,10000.0,5.0,256.0,3.0,0.85,0.511764705882353,0.47058823529411764,0.5588235294117647,0.08823529411764708
