lag,batch_size,neurons,layers,split,mean_acc,min_acc,max_acc,diff_acc
1,20,256,2,0.85,0.473529412,0.411764706,0.5,0.088235294
14,5,128,2,0.85,0.472727273,0.439393939,0.560606061,0.121212121
7,50,256,3,0.85,0.471641791,0.402985075,0.537313433,0.134328358
1,80,32,1,0.85,0.470588235,0.338235294,0.529411765,0.191176471
1,80,32,2,0.85,0.470588235,0.352941176,0.529411765,0.176470588
14,5,16,3,0.85,0.46969697,0.409090909,0.545454545,0.136363636
14,50,16,1,0.85,0.46969697,0.439393939,0.53030303,0.090909091
14,80,16,1,0.85,0.46969697,0.424242424,0.515151515,0.090909091
1,80,16,2,0.85,0.467647059,0.338235294,0.529411765,0.191176471
1,80,256,1,0.85,0.467647059,0.426470588,0.5,0.073529412
1,80,256,2,0.85,0.467647059,0.441176471,0.5,0.058823529
14,5,256,1,0.85,0.466666667,0.409090909,0.560606061,0.151515152
1,80,16,3,0.85,0.464705882,0.338235294,0.529411765,0.191176471
1,20,256,1,0.85,0.464705882,0.411764706,0.514705882,0.102941176
1,80,128,1,0.85,0.464705882,0.382352941,0.5,0.117647059
1,80,256,3,0.85,0.464705882,0.426470588,0.5,0.073529412
7,5,16,3,0.85,0.456716418,0.402985075,0.537313433,0.134328358
7,5,256,2,0.85,0.456716418,0.388059701,0.507462687,0.119402985
