DateTime,Close,Volume_(BTC),Weighted_Price,neg_pol,neu_pol,pos_pol,compound,dt,Tweet_vol
2018-12-30 00:00:00+00:00,3793.49,4.152521838952164,3795.303135670691,0.057745098039215695,0.8251633986928104,0.11709150326797385,0.14127581699346403,2018-12-30 12:02:35.034168576+00:00,773.0
2018-12-31 00:00:00+00:00,3681.18,5.40465562408365,3747.482904944335,0.05126162790697675,0.8355174418604652,0.11324418604651161,0.15319883720930233,2018-12-31 11:58:02.326996224+00:00,854.0
2019-01-01 00:00:00+00:00,3794.17,4.3356731519844365,3710.2823998993777,0.04646478873239437,0.8430352112676056,0.11049295774647887,0.15414084507042253,2019-01-01 12:13:38.194552576+00:00,848.0
2019-01-02 00:00:00+00:00,3863.74,4.1992755388222225,3830.017629990593,0.05450295857988165,0.8212958579881657,0.12420710059171597,0.1652834319526627,2019-01-02 12:20:16.977777920+00:00,828.0
2019-01-03 00:00:00+00:00,3784.91,3.6560971867392933,3820.304499521563,0.045176767676767676,0.8093181818181818,0.14548989898989897,0.2254651515151515,2019-01-03 12:15:29.887302912+00:00,845.0
2019-01-04 00:00:00+00:00,3839.66,5.465433365723495,3789.9104655098135,0.04226900584795321,0.8341461988304094,0.12358479532163742,0.22815906432748542,2019-01-04 12:00:16.375358208+00:00,775.0
2019-01-05 00:00:00+00:00,3791.55,2.8420166056168834,3830.826415752435,0.048992753623188404,0.8132028985507246,0.13781159420289857,0.1822550724637681,2019-01-05 12:00:30.876623360+00:00,696.0
2019-01-06 00:00:00+00:00,4033.97,4.605472590186626,3905.867656288958,0.04953146853146854,0.8358041958041958,0.11469230769230769,0.1597258741258741,2019-01-06 12:39:30.186625280+00:00,667.0
2019-01-07 00:00:00+00:00,3990.0,6.031003149771427,4019.2029455112142,0.04672514619883041,0.8149824561403508,0.13831578947368423,0.24213742690058482,2019-01-07 11:59:41.528571392+00:00,824.0
2019-01-08 00:00:00+00:00,4017.86,8.575338481927966,4005.9935234133477,0.043726775956284145,0.8339071038251367,0.12240437158469944,0.19395245901639346,2019-01-08 12:04:56.949152768+00:00,867.0
